Account,date,net_pnl,gross_pnl,fees,volume_usd,n_fills,n_realized,n_liq,buy_frac,classification,value,class5,sentiment,won_day
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-02,943.2524770000001,948.6016900000001,5.349213,47082.770000000004,12,11,0,0.9166666666666666,Fear,26,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-03,-380.127335,-370.250064,9.877271,102889.35,101,68,0,0.32673267326732675,Fear,33,Fear,Fear,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-05,-5862.283243999999,-5843.04,19.243244,85842.95999999999,2,1,0,0.5,Extreme Fear,20,Extreme Fear,Fear,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-07,553.321913,556.480533,3.15862,28328.35,18,17,0,0.9444444444444444,Fear,34,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-11,23557.517512,23670.188163,112.67065099999999,544456.68,170,161,0,0.5058823529411764,Extreme Fear,24,Extreme Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-12,777.471527,788.209533,10.738006,49275.18,24,21,0,0.125,Fear,34,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-13,199.39583,216.69714,17.30131,79978.34,20,1,0,0.05,Neutral,45,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-15,490.538167,500.116094,9.577927,44620.25,33,30,0,0.9090909090909091,Neutral,46,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-16,2125.211398,2142.483409,17.272011,113072.16,70,67,0,0.04285714285714286,Fear,30,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-17,4624.828411,4644.474268,19.645857,114432.76,97,93,0,0.9690721649484536,Fear,32,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-18,80.433802,82.269533,1.835731,8544.52,14,10,0,0.7142857142857143,Fear,34,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-19,100.909668,106.886191,5.976523,50142.5,43,42,0,0.023255813953488372,Fear,32,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-20,643.304756,646.76766,3.462904,30907.17,32,31,0,0.03125,Neutral,49,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-21,1114.349549,1120.84981,6.500261,42596.57,22,20,0,0.7272727272727273,Fear,31,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-22,3335.9775720000002,3342.072025,6.094453,18415.73,41,41,0,1.0,Fear,32,Fear,Fear,True
